 DateTime,Rain,PET,EPot,EAct,W,SM,RS,RI,ExcS,ExcI,R,RObs
2008- 1- 1  0: 0: 0,     0.001,     0.651,     0.802,     0.962,   313.570,     1.196,     0.856,     9.888,     0.000,     0.000,   263.347,   102.000
2008- 1- 2  0: 0: 0,     0.005,     0.727,     0.897,     1.068,   312.503,     1.192,     0.821,     9.338,     0.000,     0.000,   488.444,    90.800
2008- 1- 3  0: 0: 0,     0.018,     0.788,     0.972,     1.148,   311.362,     1.188,     0.782,     8.233,     0.000,     0.003,   590.354,    79.800
2008- 1- 4  0: 0: 0,     0.000,     0.724,     0.892,     1.060,   310.302,     1.184,     0.741,     6.810,     0.000,     0.000,   584.461,    71.800
2008- 1- 5  0: 0: 0,     0.003,     0.849,     1.047,     1.236,   309.066,     1.179,     0.698,     5.368,     0.000,     0.000,   511.449,    71.400
2008- 1- 6  0: 0: 0,     0.000,     0.814,     1.003,     1.183,   307.883,     1.175,     0.656,     4.107,     0.000,     0.000,   413.063,    79.700
2008- 1- 7  0: 0: 0,     0.000,     0.850,     1.048,     1.231,   306.652,     1.170,     0.614,     3.108,     0.000,     0.000,   317.641,    76.700
2008- 1- 8  0: 0: 0,     0.015,     0.804,     0.991,     1.146,   305.509,     1.166,     0.574,     2.375,     0.000,     0.001,   238.510,    71.900
2008- 1- 9  0: 0: 0,     0.039,     0.939,     1.158,     1.341,   304.183,     1.161,     0.535,     1.877,     0.001,     0.019,   178.684,    68.600
2008- 1-10  0: 0: 0,     1.335,     0.359,     0.443,     0.413,   304.024,     1.160,     0.509,     2.083,     0.074,     0.954,   155.194,    67.100
2008- 1-11  0: 0: 0,     4.636,     0.476,     0.587,     0.598,   303.768,     1.159,     0.518,     4.088,     0.309,     3.961,   274.863,    68.700
2008- 1-12  0: 0: 0,     0.081,     0.419,     0.517,     0.552,   303.232,     1.157,     0.481,     3.611,     0.002,     0.025,   370.292,    72.900
2008- 1-13  0: 0: 0,     0.010,     0.326,     0.402,     0.454,   302.778,     1.155,     0.446,     3.030,     0.000,     0.000,   368.129,    77.800
2008- 1-14  0: 0: 0,     0.395,     0.741,     0.913,     0.838,   302.074,     1.152,     0.414,     2.521,     0.007,     0.084,   317.112,    83.400
2008- 1-15  0: 0: 0,     0.074,     0.457,     0.564,     0.593,   301.498,     1.150,     0.384,     2.064,     0.001,     0.009,   253.649,    89.000
2008- 1-16  0: 0: 0,     0.126,     0.604,     0.744,     0.777,   300.762,     1.147,     0.356,     1.730,     0.002,     0.020,   195.886,    93.800
2008- 1-17  0: 0: 0,     0.030,     0.559,     0.689,     0.755,   300.006,     1.145,     0.330,     1.487,     0.000,     0.000,   151.297,    98.300
2008- 1-18  0: 0: 0,     0.000,     0.519,     0.640,     0.732,   299.274,     1.142,     0.307,     1.320,     0.000,     0.000,   118.443,   103.000
2008- 1-19  0: 0: 0,     0.029,     0.424,     0.522,     0.577,   298.708,     1.140,     0.285,     1.208,     0.000,     0.002,    94.872,   107.000
2008- 1-20  0: 0: 0,     0.002,     0.303,     0.374,     0.423,   298.284,     1.138,     0.265,     1.129,     0.000,     0.000,    78.245,   110.000
2008- 1-21  0: 0: 0,     0.152,     0.472,     0.582,     0.636,   297.698,     1.136,     0.248,     1.120,     0.006,     0.080,    66.176,   111.000
2008- 1-22  0: 0: 0,     0.221,     0.594,     0.732,     0.718,   297.037,     1.133,     0.232,     1.117,     0.005,     0.066,    57.207,   108.000
2008- 1-23  0: 0: 0,     0.010,     0.533,     0.657,     0.735,   296.303,     1.130,     0.217,     1.086,     0.000,     0.000,    50.299,   103.000
2008- 1-24  0: 0: 0,     0.201,     0.605,     0.746,     0.795,   295.580,     1.128,     0.204,     1.112,     0.007,     0.088,    44.769,    94.800
2008- 1-25  0: 0: 0,     0.015,     0.454,     0.560,     0.614,   294.965,     1.125,     0.192,     1.089,     0.000,     0.000,    40.239,    89.900
2008- 1-26  0: 0: 0,     0.124,     0.758,     0.934,     0.994,   294.014,     1.122,     0.181,     1.084,     0.003,     0.035,    36.436,    88.100
2008- 1-27  0: 0: 0,     0.018,     0.608,     0.750,     0.833,   293.188,     1.119,     0.171,     1.060,     0.000,     0.004,    33.102,    88.300
2008- 1-28  0: 0: 0,     0.111,     0.332,     0.410,     0.422,   292.806,     1.117,     0.162,     1.054,     0.003,     0.041,    30.152,    89.700
2008- 1-29  0: 0: 0,     0.904,     0.766,     0.944,     0.900,   292.238,     1.115,     0.158,     1.272,     0.034,     0.434,    27.517,    91.600
2008- 1-30  0: 0: 0,     0.124,     0.673,     0.830,     0.808,   291.444,     1.112,     0.151,     1.246,     0.000,     0.005,    27.488,    94.000
2008- 1-31  0: 0: 0,     0.492,     0.846,     1.043,     0.978,   290.649,     1.109,     0.146,     1.301,     0.012,     0.152,    37.398,    96.400
2008- 2- 1  0: 0: 0,     0.047,     0.573,     0.707,     0.740,   289.916,     1.106,     0.140,     1.249,     0.000,     0.001,    43.034,    99.200
2008- 2- 2  0: 0: 0,     0.468,     0.743,     0.916,     0.938,   289.128,     1.103,     0.137,     1.322,     0.019,     0.246,    47.604,   101.000
2008- 2- 3  0: 0: 0,     0.004,     0.830,     1.023,     1.125,   288.003,     1.099,     0.131,     1.242,     0.000,     0.000,    46.303,    99.900
2008- 2- 4  0: 0: 0,     0.121,     0.991,     1.221,     1.278,   286.777,     1.094,     0.127,     1.172,     0.001,     0.014,    51.946,    99.300
2008- 2- 5  0: 0: 0,     0.030,     0.875,     1.079,     1.148,   285.629,     1.090,     0.122,     1.083,     0.000,     0.000,    48.201,    99.600
2008- 2- 6  0: 0: 0,     0.000,     0.866,     1.068,     1.163,   284.465,     1.085,     0.118,     1.002,     0.000,     0.000,    39.561,   100.000
2008- 2- 7  0: 0: 0,     0.054,     0.919,     1.133,     1.171,   283.294,     1.081,     0.114,     0.936,     0.000,     0.000,    31.054,   102.000
2008- 2- 8  0: 0: 0,     0.009,     0.902,     1.113,     1.200,   282.098,     1.076,     0.111,     0.888,     0.000,     0.003,    24.063,   106.000
2008- 2- 9  0: 0: 0,     0.000,     0.960,     1.184,     1.274,   280.824,     1.071,     0.108,     0.850,     0.000,     0.000,    18.773,   113.000
2008- 2-10  0: 0: 0,     0.001,     1.007,     1.241,     1.329,   279.494,     1.066,     0.105,     0.820,     0.000,     0.000,    14.949,   121.000
2008- 2-11  0: 0: 0,     0.000,     1.018,     1.254,     1.337,   278.157,     1.061,     0.102,     0.797,     0.000,     0.000,    12.237,   125.000
2008- 2-12  0: 0: 0,     0.000,     0.998,     1.230,     1.305,   276.852,     1.056,     0.100,     0.776,     0.000,     0.000,    10.321,   125.000
2008- 2-13  0: 0: 0,     0.000,     1.044,     1.287,     1.359,   275.493,     1.051,     0.098,     0.758,     0.000,     0.000,     8.935,   122.000
2008- 2-14  0: 0: 0,     0.000,     1.148,     1.416,     1.488,   274.005,     1.045,     0.095,     0.741,     0.000,     0.000,     7.892,   119.000
2008- 2-15  0: 0: 0,     0.002,     1.265,     1.560,     1.628,   272.377,     1.039,     0.094,     0.724,     0.000,     0.000,     7.069,   115.000
2008- 2-16  0: 0: 0,     0.005,     1.091,     1.345,     1.392,   270.985,     1.034,     0.092,     0.707,     0.000,     0.000,     6.393,   110.000
2008- 2-17  0: 0: 0,     0.002,     1.320,     1.627,     1.681,   269.304,     1.027,     0.090,     0.691,     0.000,     0.000,     5.818,   105.000
2008- 2-18  0: 0: 0,     0.000,     1.275,     1.572,     1.615,   267.689,     1.021,     0.089,     0.674,     0.000,     0.000,     5.317,    99.300
2008- 2-19  0: 0: 0,     0.048,     1.317,     1.624,     1.609,   266.081,     1.015,     0.088,     0.658,     0.000,     0.000,     4.874,    94.200
2008- 2-20  0: 0: 0,     0.001,     1.409,     1.738,     1.763,   264.317,     1.008,     0.086,     0.641,     0.000,     0.000,     4.477,    88.500
2008- 2-21  0: 0: 0,     0.000,     1.573,     1.940,     1.956,   262.361,     1.001,     0.085,     0.624,     0.000,     0.000,     4.119,    82.200
2008- 2-22  0: 0: 0,     0.014,     1.569,     1.934,     1.923,   260.440,     0.994,     0.084,     0.607,     0.000,     0.000,     3.795,    76.300
2008- 2-23  0: 0: 0,     0.000,     1.511,     1.862,     1.850,   258.590,     0.987,     0.083,     0.590,     0.000,     0.000,     3.500,    71.100
2008- 2-24  0: 0: 0,     2.399,     0.966,     1.191,     1.043,   259.125,     0.989,     0.097,     0.901,     0.100,     0.574,    15.609,    67.000
2008- 2-25  0: 0: 0,     1.033,     0.485,     0.598,     0.511,   259.295,     0.989,     0.101,     0.996,     0.040,     0.227,    32.713,    64.300
2008- 2-26  0: 0: 0,     0.501,     1.326,     1.635,     1.475,   258.047,     0.984,     0.101,     1.001,     0.011,     0.119,    43.197,    63.900
2008- 2-27  0: 0: 0,     0.080,     1.550,     1.910,     1.830,   256.239,     0.978,     0.099,     0.918,     0.001,     0.006,    42.982,    65.200
2008- 2-28  0: 0: 0,     0.022,     1.710,     2.108,     2.039,   254.200,     0.970,     0.098,     0.830,     0.000,     0.000,    43.200,    67.200
2008- 2-29  0: 0: 0,     0.038,     1.791,     2.208,     2.105,   252.096,     0.962,     0.096,     0.740,     0.000,     0.000,    38.129,    70.000
2008- 3- 1  0: 0: 0,     0.000,     1.703,     2.099,     2.019,   250.077,     0.954,     0.094,     0.658,     0.000,     0.000,    30.510,    72.900
2008- 3- 2  0: 0: 0,     0.003,     1.722,     2.124,     2.023,   248.054,     0.946,     0.093,     0.591,     0.000,     0.000,    23.168,    77.300
2008- 3- 3  0: 0: 0,     0.003,     1.698,     2.093,     1.978,   246.076,     0.939,     0.091,     0.538,     0.000,     0.000,    17.306,    82.000
2008- 3- 4  0: 0: 0,     0.012,     1.754,     2.162,     2.018,   244.058,     0.931,     0.089,     0.497,     0.000,     0.000,    13.062,    82.200
2008- 3- 5  0: 0: 0,     3.710,     2.028,     2.500,     1.933,   244.828,     0.934,     0.107,     0.665,     0.133,     0.350,    10.869,    78.300
2008- 3- 6  0: 0: 0,     4.798,     0.488,     0.602,     0.592,   247.863,     0.946,     0.150,     1.127,     0.304,     0.857,    21.970,    74.500
2008- 3- 7  0: 0: 0,     0.162,     1.755,     2.164,     1.917,   245.971,     0.938,     0.147,     1.084,     0.000,     0.001,    30.245,    79.400
2008- 3- 8  0: 0: 0,     0.008,     1.740,     2.145,     2.005,   243.966,     0.931,     0.144,     1.022,     0.000,     0.000,    48.159,    90.900
2008- 3- 9  0: 0: 0,     0.012,     1.993,     2.457,     2.276,   241.690,     0.922,     0.141,     0.918,     0.000,     0.000,    55.158,   101.000
2008- 3-10  0: 0: 0,     0.007,     2.171,     2.677,     2.462,   239.228,     0.913,     0.137,     0.797,     0.000,     0.000,    51.884,   104.000
2008- 3-11  0: 0: 0,     0.013,     2.130,     2.626,     2.385,   236.843,     0.904,     0.133,     0.683,     0.000,     0.000,    43.568,    99.700
2008- 3-12  0: 0: 0,    16.971,     2.360,     2.910,     2.815,   247.113,     0.943,     0.278,     2.174,     1.021,     2.776,    40.322,    91.600
2008- 3-13  0: 0: 0,     0.020,     2.040,     2.515,     2.352,   244.761,     0.934,     0.272,     2.094,     0.000,     0.000,    64.037,    82.000
2008- 3-14  0: 0: 0,     0.000,     2.267,     2.795,     2.611,   242.150,     0.924,     0.264,     1.963,     0.000,     0.000,    94.509,    76.400
2008- 3-15  0: 0: 0,     0.087,     2.143,     2.642,     2.359,   239.791,     0.915,     0.256,     1.742,     0.000,     0.000,   105.543,    77.500
2008- 3-16  0: 0: 0,     0.202,     1.178,     1.453,     1.250,   238.639,     0.910,     0.247,     1.488,     0.004,     0.010,    99.230,    80.900
2008- 3-17  0: 0: 0,     0.017,     2.285,     2.818,     2.550,   236.090,     0.901,     0.238,     1.242,     0.000,     0.000,    84.273,    84.800
2008- 3-18  0: 0: 0,     0.003,     2.067,     2.549,     2.297,   233.793,     0.892,     0.229,     1.036,     0.000,     0.000,    67.417,    88.300
2008- 3-19  0: 0: 0,     0.014,     1.061,     1.308,     1.155,   232.638,     0.888,     0.219,     0.878,     0.000,     0.000,    52.192,    91.200
2008- 3-20  0: 0: 0,     1.566,     2.481,     3.059,     1.692,   231.316,     0.883,     0.211,     0.773,     0.007,     0.018,    40.080,    93.300
2008- 3-21  0: 0: 0,     1.897,     0.480,     0.592,     0.517,   232.308,     0.886,     0.217,     0.819,     0.103,     0.223,    37.208,    94.800
2008- 3-22  0: 0: 0,     0.090,     2.105,     2.595,     2.224,   230.084,     0.878,     0.208,     0.751,     0.000,     0.000,    33.035,    93.500
2008- 3-23  0: 0: 0,     0.116,     2.375,     2.928,     2.517,   227.614,     0.868,     0.199,     0.695,     0.001,     0.003,    32.043,    88.900
2008- 3-24  0: 0: 0,     0.003,     2.542,     3.134,     2.720,   224.894,     0.858,     0.190,     0.643,     0.000,     0.000,    29.219,    82.500
2008- 3-25  0: 0: 0,     0.011,     2.160,     2.663,     2.274,   222.620,     0.849,     0.182,     0.598,     0.000,     0.000,    25.356,    74.600
2008- 3-26  0: 0: 0,     0.000,     2.606,     3.213,     2.729,   219.891,     0.839,     0.174,     0.562,     0.000,     0.000,    21.450,    65.800
2008- 3-27  0: 0: 0,     0.000,     2.458,     3.031,     2.541,   217.350,     0.829,     0.167,     0.534,     0.000,     0.000,    18.076,    56.900
2008- 3-28  0: 0: 0,     0.158,     1.572,     1.939,     1.474,   215.884,     0.824,     0.160,     0.512,     0.000,     0.000,    15.384,    47.300
2008- 3-29  0: 0: 0,     5.846,     0.820,     1.011,     0.983,   219.706,     0.838,     0.205,     0.875,     0.352,     0.667,    18.744,    41.300
2008- 3-30  0: 0: 0,     0.054,     2.027,     2.499,     2.050,   217.656,     0.830,     0.198,     0.851,     0.000,     0.000,    21.019,    41.500
2008- 3-31  0: 0: 0,     0.216,     0.828,     1.021,     0.726,   216.990,     0.828,     0.191,     0.819,     0.002,     0.003,    31.215,    44.200
2008- 4- 1  0: 0: 0,     0.012,     1.790,     2.206,     1.814,   215.177,     0.821,     0.184,     0.758,     0.000,     0.000,    35.808,    46.600
2008- 4- 2  0: 0: 0,     0.005,     2.502,     3.085,     2.529,   212.647,     0.811,     0.177,     0.685,     0.000,     0.000,    34.308,    45.400
2008- 4- 3  0: 0: 0,     0.344,     1.908,     2.352,     1.846,   211.023,     0.805,     0.172,     0.630,     0.013,     0.025,    29.637,    43.100
2008- 4- 4  0: 0: 0,     0.001,     2.308,     2.846,     2.288,   208.735,     0.796,     0.166,     0.573,     0.000,     0.000,    24.359,    42.200
2008- 4- 5  0: 0: 0,     0.373,     2.289,     2.822,     1.953,   206.786,     0.789,     0.160,     0.530,     0.000,     0.000,    20.766,    42.000
2008- 4- 6  0: 0: 0,     0.002,     2.522,     3.109,     2.447,   204.339,     0.780,     0.154,     0.496,     0.000,     0.000,    17.581,    43.800
2008- 4- 7  0: 0: 0,    14.318,     2.214,     2.730,     2.443,   213.588,     0.815,     0.273,     1.356,     0.861,     1.552,    25.407,    49.100
2008- 4- 8  0: 0: 0,     7.469,     0.659,     0.812,     0.782,   218.778,     0.835,     0.336,     1.884,     0.483,     0.990,    44.074,    62.100
2008- 4- 9  0: 0: 0,     0.061,     1.739,     2.144,     1.774,   217.027,     0.828,     0.324,     1.771,     0.000,     0.001,    57.335,   238.000
2008- 4-10  0: 0: 0,     0.323,     2.307,     2.844,     2.102,   214.951,     0.820,     0.312,     1.597,     0.000,     0.000,    75.077,   348.000
2008- 4-11  0: 0: 0,     0.284,     1.397,     1.722,     1.222,   213.779,     0.816,     0.299,     1.370,     0.001,     0.002,    79.720,   279.000
2008- 4-12  0: 0: 0,     0.117,     1.917,     2.363,     1.826,   211.953,     0.809,     0.285,     1.141,     0.000,     0.000,    72.540,   262.000
2008- 4-13  0: 0: 0,     0.012,     1.386,     1.709,     1.368,   210.585,     0.803,     0.272,     0.947,     0.000,     0.000,    59.978,   232.000
2008- 4-14  0: 0: 0,     0.041,     1.726,     2.128,     1.675,   208.910,     0.797,     0.259,     0.799,     0.000,     0.000,    47.107,   196.000
2008- 4-15  0: 0: 0,     0.454,     1.159,     1.429,     1.049,   208.127,     0.794,     0.248,     0.705,     0.011,     0.018,    36.363,   167.000
2008- 4-16  0: 0: 0,     0.019,     2.818,     3.474,     2.746,   205.382,     0.784,     0.236,     0.634,     0.000,     0.000,    28.724,   143.000
2008- 4-17  0: 0: 0,     0.014,     3.061,     3.774,     2.948,   202.434,     0.772,     0.225,     0.585,     0.000,     0.000,    23.312,   123.000
2008- 4-18  0: 0: 0,    19.223,     3.041,     3.750,     3.513,   214.109,     0.817,     0.378,     2.098,     1.128,     2.710,    33.768,   106.000
2008- 4-19  0: 0: 0,    53.000,     1.372,     1.692,     1.686,   235.588,     0.899,     0.903,    16.959,     3.714,    26.118,    76.093,   100.000
2008- 4-20  0: 0: 0,     1.086,     1.082,     1.333,     0.994,   235.127,     0.897,     0.879,    16.875,     0.032,     0.266,   150.053,   831.000
2008- 4-21  0: 0: 0,     0.082,     2.301,     2.836,     2.493,   232.634,     0.888,     0.845,    15.897,     0.000,     0.000,   536.301,  2700.000
2008- 4-22  0: 0: 0,     0.035,     2.553,     3.147,     2.768,   229.865,     0.877,     0.806,    13.718,     0.000,     0.000,   857.255,  3020.000
2008- 4-23  0: 0: 0,     0.169,     2.824,     3.482,     2.961,   226.956,     0.866,     0.766,    10.934,     0.001,     0.003,   935.153,  2000.000
2008- 4-24  0: 0: 0,     0.085,     3.221,     3.971,     3.366,   223.592,     0.853,     0.725,     8.239,     0.000,     0.000,   829.957,  1250.000
2008- 4-25  0: 0: 0,     0.018,     3.371,     4.156,     3.533,   220.060,     0.840,     0.683,     6.029,     0.000,     0.000,   651.665,   849.000
2008- 4-26  0: 0: 0,     0.007,     3.419,     4.215,     3.536,   216.523,     0.826,     0.642,     4.401,     0.000,     0.000,   474.362,   609.000
2008- 4-27  0: 0: 0,     0.001,     2.780,     3.427,     2.834,   213.690,     0.815,     0.603,     3.285,     0.000,     0.000,   330.622,   468.000
2008- 4-28  0: 0: 0,     0.007,     3.218,     3.968,     3.233,   210.457,     0.803,     0.565,     2.559,     0.000,     0.000,   226.556,   434.000
2008- 4-29  0: 0: 0,     0.021,     3.477,     4.287,     3.427,   207.029,     0.790,     0.529,     2.103,     0.000,     0.000,   156.347,   392.000
2008- 4-30  0: 0: 0,     0.000,     3.341,     4.120,     3.254,   203.775,     0.777,     0.495,     1.821,     0.000,     0.000,   111.023,   312.000
2008- 5- 1  0: 0: 0,     0.001,     3.535,     4.358,     3.390,   200.385,     0.765,     0.463,     1.646,     0.000,     0.000,    82.432,   243.000
2008- 5- 2  0: 0: 0,     5.782,     3.729,     4.598,     2.968,   201.409,     0.768,     0.466,     1.791,     0.220,     0.447,    64.478,   208.000
2008- 5- 3  0: 0: 0,    21.409,     1.638,     2.020,     2.009,   215.921,     0.824,     0.642,     3.704,     1.404,     3.478,    71.881,   202.000
2008- 5- 4  0: 0: 0,     0.006,     3.182,     3.923,     3.230,   212.690,     0.811,     0.610,     3.597,     0.000,     0.000,   109.416,   270.000
2008- 5- 5  0: 0: 0,     0.038,     3.275,     4.037,     3.242,   209.448,     0.799,     0.579,     3.434,     0.000,     0.000,   199.394,   535.000
2008- 5- 6  0: 0: 0,     0.000,     3.678,     4.534,     3.624,   205.824,     0.785,     0.547,     3.065,     0.000,     0.000,   224.550,   669.000
2008- 5- 7  0: 0: 0,     1.442,     2.476,     3.052,     1.971,   204.576,     0.780,     0.521,     2.659,     0.025,     0.048,   203.314,   549.000
2008- 5- 8  0: 0: 0,     6.114,     1.087,     1.341,     1.189,   208.287,     0.795,     0.542,     2.690,     0.353,     0.751,   164.754,   435.000
2008- 5- 9  0: 0: 0,     0.427,     1.687,     2.080,     1.443,   206.951,     0.790,     0.514,     2.383,     0.003,     0.006,   128.880,   349.000
2008- 5-10  0: 0: 0,     0.024,     3.133,     3.863,     3.036,   203.915,     0.778,     0.486,     2.144,     0.000,     0.000,   107.556,   306.000
2008- 5-11  0: 0: 0,     0.130,     3.281,     4.045,     3.051,   200.864,     0.766,     0.460,     1.937,     0.000,     0.000,    91.657,   286.000
2008- 5-12  0: 0: 0,     0.024,     3.132,     3.862,     2.944,   197.920,     0.755,     0.435,     1.760,     0.000,     0.000,    77.426,   266.000
2008- 5-13  0: 0: 0,     0.003,     3.125,     3.853,     2.913,   195.007,     0.744,     0.411,     1.616,     0.000,     0.000,    64.682,   250.000
2008- 5-14  0: 0: 0,     0.019,     3.043,     3.752,     2.777,   192.230,     0.733,     0.388,     1.503,     0.000,     0.000,    53.909,   232.000
2008- 5-15  0: 0: 0,     0.001,     3.469,     4.277,     3.141,   189.090,     0.721,     0.367,     1.416,     0.000,     0.000,    45.270,   217.000
2008- 5-16  0: 0: 0,     0.006,     3.574,     4.407,     3.178,   185.912,     0.709,     0.348,     1.348,     0.000,     0.000,    38.557,   203.000
2008- 5-17  0: 0: 0,     9.736,     3.568,     4.399,     3.424,   190.345,     0.726,     0.393,     1.720,     0.432,     0.746,    33.771,   190.000
2008- 5-18  0: 0: 0,     0.162,     2.235,     2.756,     1.959,   188.456,     0.719,     0.376,     1.674,     0.003,     0.003,    31.232,   177.000
2008- 5-19  0: 0: 0,     0.000,     3.461,     4.267,     3.074,   185.382,     0.707,     0.360,     1.625,     0.000,     0.000,    38.627,   164.000
2008- 5-20  0: 0: 0,     0.013,     3.507,     4.324,     3.057,   182.326,     0.696,     0.344,     1.547,     0.000,     0.000,    43.734,   150.000
2008- 5-21  0: 0: 0,     0.015,     3.234,     3.987,     2.778,   179.548,     0.685,     0.329,     1.453,     0.000,     0.000,    43.299,   138.000
2008- 5-22  0: 0: 0,     0.065,     3.415,     4.210,     2.848,   176.700,     0.674,     0.314,     1.358,     0.000,     0.000,    39.083,   128.000
2008- 5-23  0: 0: 0,     0.479,     2.089,     2.576,     1.703,   175.333,     0.669,     0.303,     1.284,     0.012,     0.018,    33.612,   122.000
2008- 5-24  0: 0: 0,     0.173,     3.226,     3.977,     2.535,   172.798,     0.659,     0.290,     1.214,     0.000,     0.000,    28.744,   120.000
2008- 5-25  0: 0: 0,     0.002,     3.261,     4.021,     2.655,   170.143,     0.649,     0.278,     1.156,     0.000,     0.000,    24.938,   120.000
2008- 5-26  0: 0: 0,     4.152,     3.208,     3.955,     2.114,   170.685,     0.651,     0.285,     1.209,     0.125,     0.178,    21.798,   123.000
2008- 5-27  0: 0: 0,    10.369,     1.377,     1.698,     1.620,   177.883,     0.679,     0.367,     1.665,     0.631,     0.872,    28.935,   132.000
2008- 5-28  0: 0: 0,     0.016,     3.410,     4.204,     2.845,   175.038,     0.668,     0.354,     1.604,     0.000,     0.000,    36.005,   144.000
2008- 5-29  0: 0: 0,     0.777,     3.485,     4.297,     2.849,   172.740,     0.659,     0.344,     1.536,     0.022,     0.026,    40.767,   156.000
2008- 5-30  0: 0: 0,     0.015,     3.042,     3.750,     2.463,   170.277,     0.650,     0.331,     1.420,     0.000,     0.000,    39.888,   162.000
2008- 5-31  0: 0: 0,     0.011,     3.593,     4.430,     2.882,   167.395,     0.639,     0.319,     1.297,     0.000,     0.000,    35.652,   161.000
2008- 6- 1  0: 0: 0,     0.050,     3.299,     4.067,     2.577,   164.818,     0.629,     0.306,     1.188,     0.000,     0.000,    30.344,   160.000
2008- 6- 2  0: 0: 0,     0.593,     3.556,     4.385,     2.351,   162.468,     0.620,     0.294,     1.101,     0.000,     0.000,    25.338,   155.000
2008- 6- 3  0: 0: 0,     0.597,     2.848,     3.511,     1.938,   160.672,     0.613,     0.284,     1.034,     0.002,     0.003,    21.267,   145.000
2008- 6- 4  0: 0: 0,     0.006,     3.241,     3.996,     2.456,   158.216,     0.604,     0.273,     0.982,     0.000,     0.000,    18.273,   132.000
2008- 6- 5  0: 0: 0,     0.000,     3.495,     4.309,     2.611,   155.606,     0.594,     0.263,     0.940,     0.000,     0.000,    15.753,   116.000
2008- 6- 6  0: 0: 0,     1.158,     3.454,     4.258,     2.154,   153.800,     0.587,     0.254,     0.908,     0.005,     0.005,    14.054,    98.700
2008- 6- 7  0: 0: 0,     0.134,     1.533,     1.890,     1.072,   152.757,     0.583,     0.246,     0.878,     0.001,     0.000,    12.678,    87.100
2008- 6- 8  0: 0: 0,     7.505,     2.258,     2.784,     1.686,   156.516,     0.597,     0.310,     1.648,     0.499,     1.395,    16.678,   147.000
2008- 6- 9  0: 0: 0,     0.771,     2.762,     3.406,     1.834,   154.907,     0.591,     0.303,     1.732,     0.019,     0.188,    52.526,   118.000
2008- 6-10  0: 0: 0,     0.529,     2.038,     2.513,     1.313,   153.766,     0.587,     0.294,     1.695,     0.008,     0.066,    88.518,   101.000
2008- 6-11  0: 0: 0,     0.458,     3.408,     4.201,     2.316,   151.569,     0.578,     0.284,     1.502,     0.001,     0.002,    92.550,    96.100
2008- 6-12  0: 0: 0,     0.023,     3.347,     4.126,     2.408,   149.175,     0.569,     0.274,     1.273,     0.000,     0.000,    77.506,    96.700
2008- 6-13  0: 0: 0,     0.851,     3.209,     3.956,     2.220,   147.598,     0.563,     0.271,     1.106,     0.043,     0.059,    59.053,   100.000
2008- 6-14  0: 0: 0,     0.003,     2.363,     2.914,     1.647,   145.952,     0.557,     0.261,     0.954,     0.000,     0.000,    43.908,   106.000
2008- 6-15  0: 0: 0,     1.215,     1.662,     2.048,     0.830,   145.614,     0.556,     0.254,     0.856,     0.017,     0.014,    38.451,   116.000
2008- 6-16  0: 0: 0,     0.265,     1.719,     2.119,     1.087,   144.582,     0.552,     0.245,     0.776,     0.000,     0.000,    31.578,   132.000
2008- 6-17  0: 0: 0,     3.276,     1.056,     1.302,     0.822,   146.345,     0.558,     0.262,     0.863,     0.176,     0.257,    32.946,   157.000
2008- 6-18  0: 0: 0,     0.006,     2.921,     3.601,     2.037,   144.309,     0.551,     0.252,     0.812,     0.000,     0.000,    36.700,   165.000
2008- 6-19  0: 0: 0,     0.800,     1.888,     2.327,     1.085,   143.457,     0.547,     0.243,     0.761,     0.003,     0.003,    37.519,   159.000
2008- 6-20  0: 0: 0,     1.840,     1.995,     2.460,     1.249,   143.335,     0.547,     0.242,     0.726,     0.048,     0.042,    33.606,   149.000
2008- 6-21  0: 0: 0,    14.296,     1.162,     1.433,     1.337,   153.976,     0.587,     0.369,     1.425,     0.935,     1.319,    61.829,   148.000
2008- 6-22  0: 0: 0,     1.543,     1.752,     2.160,     1.141,   153.804,     0.587,     0.361,     1.387,     0.045,     0.109,    73.215,   292.000
2008- 6-23  0: 0: 0,     0.317,     2.495,     3.076,     1.727,   152.222,     0.581,     0.347,     1.310,     0.006,     0.053,    92.400,   499.000
2008- 6-24  0: 0: 0,     0.005,     3.538,     4.362,     2.566,   149.656,     0.571,     0.332,     1.146,     0.000,     0.000,    95.117,   498.000
2008- 6-25  0: 0: 0,     0.028,     3.705,     4.568,     2.597,   147.059,     0.561,     0.317,     0.967,     0.000,     0.000,    84.108,   440.000
2008- 6-26  0: 0: 0,     0.086,     2.842,     3.503,     1.956,   145.103,     0.554,     0.303,     0.809,     0.000,     0.000,    68.664,   358.000
2008- 6-27  0: 0: 0,     0.039,     3.501,     4.317,     2.389,   142.714,     0.544,     0.290,     0.685,     0.000,     0.000,    54.148,   283.000
2008- 6-28  0: 0: 0,     0.000,     3.325,     4.099,     2.248,   140.466,     0.536,     0.277,     0.594,     0.000,     0.000,    42.541,   235.000
2008- 6-29  0: 0: 0,     0.000,     3.976,     4.902,     2.653,   137.813,     0.526,     0.264,     0.530,     0.000,     0.000,    33.974,   208.000
2008- 6-30  0: 0: 0,     0.022,     3.330,     4.105,     2.160,   135.654,     0.518,     0.253,     0.485,     0.000,     0.000,    27.869,   185.000
